tid,subject,location,description,priority
1,Wi-Fi Issue,Spann Place,Type indicate a own partner voice indeed piece.,4
2,Projector Not Working,Spann Place,Which per reduce receive again just lawyer from.,2
3,Room Too Cold,Clough Hall,Trip study finish break where say.,5
4,Power Outage,Briggs Hall,Find always on build politics Mr lay.,1
5,Computer Won't Start,Briggs Hall,Skin fine player argue.,2
6,Software Installation,Rhodes Tower,Power relationship wind stay front if pressure old.,1
7,Printer Jammed,Frazier Jelke,You front reason life eye main.,3
8,Broken Chair,Mallory Gym,Born behind seem.,1
9,Lost Keycard,BCLC,Most fear able none strong happen.,4
10,Maintenance Request,Buckman Hall,Drive sign decide my above five.,4
11,Water Leak,Mallory Gym,Why friend second protect property.,3
12,Strange Odor,BCLC,Cell almost reality only.,1
13,Lighting Problem,Buckman Hall,Wish age college when technology wide what.,1
14,Door Won't Lock,Barrett Library,Staff number expert officer.,3
15,Noisy HVAC,BCLC,Investment ever still dog.,3
16,Monitor Flickering,Spann Place,Discuss do cover writer game test.,2
17,Slow Internet,Mallory Gym,Strategy lawyer collection issue go then man.,5
18,Elevator Malfunction,Rhodes Tower,Key possible answer computer go white.,4
19,Spilled Coffee,Mallory Gym,How young job score style foreign peace.,3
20,Security Concern,Mallory Gym,Accept join crime would theory.,1
